Check/EFT #,Payer,Payee,Check/EFT Date,Received by Availity,Check/EFT Amount
23308B1000015181,"ARIZONA PHYSICIANS IPA INC","MONITORING ASSOCIATES PROF FEES",11/07/2023,11/03/2023,0.00
3225116560,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/03/2023,11/03/2023,336.97
C23306E14454500,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/06/2023,11/03/2023,25070.36
C23306E30534250,"BLUECROSS BLUESHIELD OF ILLINOIS","MONITORING ASSOCIATES LLC",11/06/2023,11/03/2023,1976.15
C23304E13713300,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/02/2023,11/01/2023,11374.36
3224939659,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/01/2023,11/01/2023,150.48
15022396929,"REGENCE BLUECROSS BLUESHIELD OF OREGON","MONITORING ASSOCIATES LLC",11/01/2023,11/01/2023,0.00
3224988521,"BCBS HEALTHCARE PLAN OF GA","PEACHTREE NEUROMONITORING",11/02/2023,11/02/2023,3879.89
5445494305VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/06/2023,11/03/2023,1738.84
9022812929,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/01/2023,11/02/2023,0.00
823306000155773,"AETNA","MONITORING ASSOCIATES LLC",11/07/2023,11/02/2023,432.62
119348642231103,"HUMANA INC.","MONITORING ASSOCIATES",11/02/2023,11/03/2023,330.95
9022849260,"RMHMS, INC. NV","MONITORING ASSOCIATES LLC",11/02/2023,11/03/2023,0.00
5450454306VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/07/2023,11/04/2023,810.80
C23307E14815350,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/07/2023,11/04/2023,20158.56
NO-PAY-202311030008984,"HUMANA INC.","MONITORING ASSOCIATES",11/03/2023,11/04/2023,0.00
119421403231104,"HUMANA INC.","MONITORING ASSOCIATES",11/03/2023,11/04/2023,413.23
C23307E30695880,"BLUECROSS BLUESHIELD OF ILLINOIS","MONITORING ASSOCIATES LLC",11/07/2023,11/04/2023,6056.84
3225250198,"AMERIGROUP TEXAS, INC.","MONITORING ASSOCIATES LLC",11/06/2023,11/04/2023,74.51
9022913646,"ANTHEM HEALTH PLANS, INC (CT)","TCM HEALTHCARE LLC",11/03/2023,11/04/2023,0.00
NO-PAY-202311030008983,"HUMANA INC.","MONITORING ASSOCIATES",11/03/2023,11/04/2023,0.00
C23307N83209410,"BLUECROSS BLUESHIELD OF ILLINOIS","MONITORING ASSOCIATES LLC",11/03/2023,11/04/2023,0.00
823310000085983,"AETNA","PEAK NEUROMONITORING, LLP",11/06/2023,11/06/2023,8.49
923310000101522,"AETNA","TCM HEALTHCARE LLC",11/06/2023,11/06/2023,0.00
923310000095308,"AETNA","PHYSICIAN OVERSIGHT LLC",11/06/2023,11/06/2023,0.00
M23310E27388490,"BLUE CROSS MEDICARE ADVANTAGE C/O PROVIDER SVCS","MONITORING ASSOCIATES LLC",11/07/2023,11/06/2023,270.04
23307B10004786860ECZP0,"WELLMARK BLUE CROSS BLUE SHIELD OF SOUTH DAKOTA","MONITORING ASSOCIATES LLC",11/05/2023,11/06/2023,0.00
M23310E27468930,"BLUE CROSS MEDICARE ADVANTAGE C/O PROVIDER SVCS","MONITORING ASSOCIATES LLC",11/07/2023,11/06/2023,508.93
923311000116487,"AETNA","NEUROMONITORING ASSOCIATES LLC,MICAELA",11/07/2023,11/07/2023,0.00
M23310E27421780,"BLUE CROSS MEDICARE ADVANTAGE C/O PROVIDER SVCS","MONITORING ASSOCIATES LLC",11/07/2023,11/06/2023,280.95
119512909231105,"HUMANA INC.","MONITORING ASSOCIATES",11/04/2023,11/06/2023,15.61
823311000155086,"AETNA","MONITORING ASSOCIATES LLC,JONATHAN,D",11/07/2023,11/07/2023,69.45
119589656231106,"HUMANA INC.","MONITORING ASSOCIATES",11/05/2023,11/06/2023,253.45
NO-PAY-202311060006443,"HUMANA INC.","MONITORING ASSOCIATES",11/06/2023,11/07/2023,0.00
738089192,"BLUE CROSS AND BLUE SHIELD OF MASS","MONITORING ASSOCIATES LLC",11/01/2023,10/28/2023,70.95
882330101013600,"AETNA","MONITORING ASSOCIATES LLC",11/02/2023,10/30/2023,3353.36
5430098300VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/01/2023,10/31/2023,957.78
C23303E13339400,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/01/2023,10/31/2023,317.99
882330301007025,"AETNA","MONITORING ASSOCIATES LLC",11/03/2023,10/31/2023,1266.39
9980116957,"AARP SUPPLEMENTAL HEALTH PLANS FROM UNITEDHEALTHCARE","MONITORING ASSOCIATES",11/02/2023,10/31/2023,319.24
0060038798TA4,"PGBA,LLC","MONITORING ASSOCIATES",11/01/2023,11/01/2023,344.23
923305000169960,"AETNA","PHYSICIAN OVERSIGHT LLC",11/01/2023,11/01/2023,0.00
C23304E13713860,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/02/2023,11/01/2023,1717.25
C23304E13713310,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/02/2023,11/01/2023,13775.38
5440499304VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/03/2023,11/02/2023,188.22
823306000032239,"AETNA","PHYSICIAN OVERSIGHT LLC",11/07/2023,11/02/2023,6788.67
23305B1000064638,"ARIZONA PHYSICIANS IPA INC","MONITORING ASSOCIATES PROF FEES",11/03/2023,11/01/2023,0.00
823306000032237,"AETNA","PHYSICIAN OVERSIGHT LLC",11/07/2023,11/02/2023,1093.57
23305B1000064640,"ARIZONA PHYSICIANS IPA INC","MONITORING ASSOCIATES PROF FEES",11/03/2023,11/01/2023,0.00
C23304E13713290,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/02/2023,11/01/2023,1399.22
923307000206128,"AETNA","TCM HEALTHCARE LLC",11/03/2023,11/03/2023,0.00
923307000206127,"AETNA","TCM HEALTHCARE LLC",11/03/2023,11/03/2023,0.00
923307000206120,"AETNA","TCM HEALTHCARE LLC",11/03/2023,11/03/2023,0.00
C23305E14085340,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/03/2023,11/02/2023,15344.64
9022812859,"ANTHEM INSURANCE COMPANIES, INC.","NEUROMONITORING ASSOCIATE",11/01/2023,11/02/2023,0.00
119305892231102,"HUMANA INC.","MONITORING ASSOCIATES",11/01/2023,11/02/2023,248.45
3224988539,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO LLC",11/02/2023,11/02/2023,582.76
C23305E14085740,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/03/2023,11/02/2023,2277.61
0119982488,"BCBS HEALTHCARE PLAN OF GA","C AND C NEUROLOGICAL ASSO",11/01/2023,11/02/2023,40.30
C23305E14085330,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/03/2023,11/02/2023,13932.07
882330501006895,"AETNA","MONITORING ASSOCIATES LLC",11/07/2023,11/02/2023,2590.92
3225057149,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/02/2023,11/02/2023,182.38
9022811363,"ANTHEM INSURANCE COMPANIES, INC.","NEUROMONITORING ASSOCIATE",11/01/2023,11/02/2023,0.00
4000323929,"TRICARE EAST","MONITORING ASSOCIATES",11/06/2023,11/03/2023,357.23
9981668063,"AARP SUPPLEMENTAL HEALTH PLANS FROM UNITEDHEALTHCARE","MONITORING ASSOCIATES",11/07/2023,11/03/2023,127.90
C23306E14454880,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/06/2023,11/03/2023,9283.44
C23306E03444920,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/06/2023,11/03/2023,369.64
C23306N37630960,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/02/2023,11/03/2023,0.00
3225250197,"RMHMS, INC. NV","MONITORING ASSOCIATES LLC",11/06/2023,11/04/2023,223.59
119427050231104,"HUMANA INC.","JBJ INVESTMENTS LLC",11/03/2023,11/04/2023,475.74
9022870892,"BCBS FEP","MONITORING ASSOCIATES LLC",11/03/2023,11/04/2023,0.00
9022914611,"ANTHEM HEALTH PLANS OF NH","TCM HEALTHCARE LLC",11/03/2023,11/04/2023,0.00
C23307E14815890,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/07/2023,11/04/2023,9862.25
M23310E27493520,"BLUE CROSS MEDICARE ADVANTAGE C/O PROVIDER SVCS","MONITORING ASSOCIATES LLC",11/07/2023,11/06/2023,53.91
923311000090610,"AETNA","UNIVERSITY NEURO LLC,JAROD,B",11/07/2023,11/07/2023,0.00
23313B100076893800,"BLUECROSS BLUESHIELD OF TENNESSEE","C AND C NEUROLOGICAL ASSOCIATES",11/05/2023,11/06/2023,0.00
923310000101523,"AETNA","TCM HEALTHCARE LLC",11/06/2023,11/06/2023,0.00
NO-PAY-202311060006442,"HUMANA INC.","MONITORING ASSOCIATES",11/06/2023,11/07/2023,0.00
C23310N37772250,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/06/2023,11/07/2023,0.00
C23304E30268750,"BLUECROSS BLUESHIELD OF ILLINOIS","MONITORING ASSOCIATES LLC",11/02/2023,11/01/2023,1251.35
923306000013013,"AETNA","NEUROMONITORING ASSOCIATES LLC",11/02/2023,11/02/2023,0.00
C23305N83061510,"BLUECROSS BLUESHIELD OF ILLINOIS","MONITORING ASSOCIATES LLC",11/01/2023,11/02/2023,0.00
9022821061,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO LLC",11/01/2023,11/02/2023,0.00
0313714689,"ANTHEM INSURANCE COMPANIES, INC.","TCM HEALTHCARE LLC",11/01/2023,11/02/2023,368.30
923306000155778,"AETNA","MONITORING ASSOCIATES LLC",11/02/2023,11/02/2023,0.00
NO-PAY-202311010011719,"HUMANA INC.","MONITORING ASSOCIATES",11/01/2023,11/02/2023,0.00
3224988538,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO LLC",11/02/2023,11/02/2023,12547.42
9022812673,"ANTHEM INSURANCE COMPANIES, INC.","NEUROMONITORING ASSOCIATE",11/01/2023,11/02/2023,0.00
0171983595,"REGENCE BLUECROSS BLUESHIELD OF UTAH","MONITORING ASSOCIATES LLC",11/03/2023,11/01/2023,866.06
9022812997,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/01/2023,11/02/2023,0.00
923307000192265,"AETNA","PHYSICIAN OVERSIGHT LLC",11/03/2023,11/03/2023,0.00
5450454306VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/02/2023,11/03/2023,810.80
9022843864,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/02/2023,11/03/2023,0.00
C23306E14454490,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/06/2023,11/03/2023,34766.92
3225116561,"HEALTHY BLUE","MONITORING ASSOCIATES LLC",11/03/2023,11/03/2023,123.01
823300000059876,"AETNA","PHYSICIAN OVERSIGHT LLC",11/01/2023,10/27/2023,3484.40
882329901005303,"AETNA","MONITORING ASSOCIATES LLC",11/01/2023,10/27/2023,2669.17
823300000183464,"AETNA","MONITORING ASSOCIATES LLC",11/01/2023,10/27/2023,145.63
882330001004985,"AETNA","MONITORING ASSOCIATES LLC",11/01/2023,10/28/2023,4386.51
C23303E13338860,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/01/2023,10/31/2023,19374.08
5435289303VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/02/2023,11/01/2023,1239.95
882330401002985,"AETNA","MONITORING ASSOCIATES LLC",11/06/2023,11/01/2023,2986.39
9980692602,"AARP SUPPLEMENTAL HEALTH PLANS FROM UNITEDHEALTHCARE","MONITORING ASSOCIATES",11/03/2023,11/01/2023,670.33
3225250196,"ANTHEM INSURANCE COMPANIES, INC.","MONITORING ASSOCIATES LLC",11/06/2023,11/04/2023,630.05
C23307N37699520,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/03/2023,11/04/2023,0.00
3225158530,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO LLC",11/06/2023,11/04/2023,4248.33
9022917824,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO LLC",11/03/2023,11/04/2023,0.00
C23307E14815370,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/07/2023,11/04/2023,2449.34
C23307E14815360,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/07/2023,11/04/2023,2727.57
5455970307VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/03/2023,11/04/2023,385.29
0602289712,"BCBS FEP","INTUITUS LLC",11/03/2023,11/04/2023,648.46
NO-PAY-202311030008982,"HUMANA INC.","MONITORING ASSOCIATES",11/03/2023,11/04/2023,0.00
211000650,"Florida Blue","MONITORING ASSOCIATES, LLC",11/06/2023,11/06/2023,1717.67
823310000081046,"AETNA","UNIVERSITY NEURO LLC",11/06/2023,11/06/2023,103.80
NO-PAY-202311040006401,"HUMANA INC.","MONITORING ASSOCIATES",11/04/2023,11/06/2023,0.00
119512910231105,"HUMANA INC.","MONITORING ASSOCIATES",11/04/2023,11/06/2023,603.11
119589658231106,"HUMANA INC.","MONITORING ASSOCIATES",11/05/2023,11/06/2023,253.45
119589657231106,"HUMANA INC.","MONITORING ASSOCIATES",11/05/2023,11/06/2023,464.27
882330701005953,"AETNA","Monitoring Associates LLC",11/05/2023,11/05/2023,3756.32
